flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
pump2idle,3,0,2024-01-30,3,nan,nan,nan,1,2057.69970703125
pump2idle,3,0,2024-02-06,3,3142.280029296875,-12.892553329467773,0.0,0,3140.837646484375
pump2idle,3,0,2024-02-14,3,nan,nan,nan,1,1738.9398193359375
pump2idle,3,0,2024-03-23,3,1618.5130615234375,-1.4999337196350098,0.0,0,1417.309326171875
pump2idle,3,0,2024-04-09,3,1693.990234375,-16.016124725341797,220.5155487060547,0,1396.6708984375
pump2idle,3,0,2024-04-24,3,2963.645263671875,-33.83049011230469,0.0,0,3245.506103515625
pump2idle,3,0,2024-06-16,3,3789.785888671875,26.653295516967773,0.0,0,3472.36669921875
pump2idle,3,0,2024-07-04,3,3652.100341796875,33.13542175292969,0.0,0,3129.320556640625
pump2idle,3,0,2024-07-09,3,4291.83544921875,-22.727811813354492,0.0,0,3832.787353515625
pump2idle,3,0,2024-07-19,3,3684.83544921875,-40.59288024902344,0.0,0,3650.30419921875
pump2idle,3,0,2024-08-03,3,3317.927490234375,-22.20388412475586,0.0,0,2971.8623046875
pump2idle,3,0,2024-08-05,3,5267.0556640625,-34.40174102783203,0.0,0,4543.015625
pump2idle,3,0,2024-08-09,3,4774.779296875,0.0967940092086792,0.0,0,4175.662109375
pump2idle,3,0,2024-08-15,3,4421.29052734375,-6.961633682250977,0.0,0,3862.669921875
pump2idle,3,0,2024-10-05,3,3118.07666015625,-43.40104675292969,460.1042785644531,0,2647.623291015625
pump2idle,3,0,2024-10-21,3,4330.6923828125,-16.570228576660156,101.61612701416016,0,4104.70703125
pump2idle,3,0,2024-11-21,3,4136.2412109375,-78.14093780517578,312.9642333984375,0,4049.7060546875
pump2idle,3,0,2024-12-13,3,8210.693359375,-163.54910278320312,349.18121337890625,0,7965.09765625
pump2idle,4,0,2024-01-09,4,3137.873046875,-65.72183227539062,5.538570880889893,0,3011.470458984375
pump2idle,4,0,2024-01-30,4,nan,nan,nan,1,1951.531005859375
pump2idle,4,0,2024-02-06,4,2796.140380859375,-11.627267837524414,25.537425994873047,0,2206.22265625
pump2idle,4,0,2024-02-14,4,nan,nan,nan,1,1394.183349609375
pump2idle,4,0,2024-03-23,4,1431.185546875,-1.6118531227111816,0.0,0,1119.485595703125
pump2idle,4,0,2024-04-09,4,1736.244873046875,-17.658763885498047,1.8867510557174683,0,1422.7998046875
pump2idle,4,0,2024-04-24,4,nan,nan,nan,1,2131.422607421875
pump2idle,4,0,2024-06-16,4,3579.63623046875,25.727094650268555,0.0,0,2942.7880859375
pump2idle,4,0,2024-07-04,4,3488.27294921875,32.71271896362305,0.0,0,2759.256103515625
pump2idle,4,0,2024-07-09,4,4126.353515625,-16.230323791503906,0.0,0,3059.470703125
pump2idle,4,0,2024-07-19,4,3340.455322265625,-37.60076141357422,0.0,0,2146.530517578125
pump2idle,4,0,2024-08-03,4,3180.62890625,-19.602184295654297,0.0,0,2347.48779296875
pump2idle,4,0,2024-08-05,4,4959.11328125,-29.39070701599121,0.0,0,3615.868896484375
pump2idle,4,0,2024-08-09,4,4625.76171875,1.6600269079208374,0.0,0,3598.27490234375
pump2idle,4,0,2024-08-15,4,4051.443115234375,-4.919837474822998,0.0,0,3030.797607421875
pump2idle,4,0,2024-10-05,4,3301.17138671875,-36.52521514892578,18.733999252319336,0,2789.082763671875
pump2idle,4,0,2024-10-21,4,nan,nan,nan,1,2666.8173828125
pump2idle,4,0,2024-11-21,4,nan,nan,nan,1,3030.3955078125
pump2idle,4,0,2024-12-13,4,7603.91162109375,-128.83445739746094,621.7702026367188,0,6488.3193359375
pump2idle,5,0,2024-01-09,5,nan,nan,nan,1,1207.080810546875
pump2idle,5,0,2024-01-30,4,nan,nan,nan,1,1951.531005859375
pump2idle,5,0,2024-02-06,5,nan,nan,nan,1,1011.4927978515625
pump2idle,5,0,2024-02-14,4,nan,nan,nan,1,1394.183349609375
pump2idle,5,0,2024-03-23,5,nan,nan,nan,1,701.2819213867188
pump2idle,5,0,2024-04-09,5,1604.09423828125,-14.970514297485352,10.162022590637207,0,894.5724487304688
pump2idle,5,0,2024-04-24,5,nan,nan,nan,1,1123.487548828125
pump2idle,5,0,2024-06-16,5,3299.906005859375,23.53891944885254,0.0,0,2407.510498046875
